№,Наименование,Цена,Ед. изм
,грузоперевозки,,
1,"Газель Тент, грузоподъемность 1.5 т",17 000 - 20 000 тг.,4+1 час
2,"Газель длинномер, грузоподъемность 2,0 т",24 000 - 26 000 тг.,4+1 час
3,"Бычок тент, грузоподъемность 3 т объем 16-22 м3",35 000 - 37 000 тг.,6+1 час.
4,"Бычок тент, грузоподъемность 3 т объем 26-30 м3",38 000 - 42 000 тг.,6+1 час.
5,"Валдай, грузоподъемность 4 т",27 000 - 29 000 тг.,4+1 час.
6,"Зил-борт, грузоподъемность 5-7 т",35 000 - 37 000 тг.,5+1 час
7,"ЗИЛ-тент, фургон, грузоподъемность 5 т",36 000 - 38 000 тг.,5+1 час
8,"ЗИЛ-тент, фургон, грузоподъемность 5 т",40 000 - 42 000 тг.,6+1 час.
9,"Бортовой автомобиль длиной 6 м, грузоподъемность до 10 т",56 000 - 60 000 тг.,7+1 час.
10,"Бортовой автомобиль длиной 6 м, грузоподъемность до 20 т",64 000 - 68 000 тг.,7+1 час.
11,Автомобиль-будка до 10 т,52 000 - 55 000 тг.,7+1 час.
12,"МАN, фургон, с гидролифтом, грузоподъемность до 3,5 т",52 000 - 54 000 тг.,7+1 час.
13,"МАN, фургон, с гидролифтом, грузоподъемность до 6 т",56 000 - 60 000 тг.,7+1 час.
14,"КАМАЗ-борт, тент, грузоподъемность 10 т",58 000 - 62 000 тг.,7+1 час.
15,"КАМАЗ-фургон, грузоподъемность 10 т",62 000 - 54 000 тг.,7+1 час.
16,"КАМАЗ, тент, грузоподъемность 20 т",65 000 - 68 000 тг.,7+1 час.
17,"КАМАЗ-борт, грузоподъемность 20 т",67 000 - 70 000 тг.,7+1 час.
18,"Манипулятор, стрела 3 т грузоподъемность до 5 т",64 000 - 50 000 тг.,7+1 час
19,"Манипулятор, стрела 4,5 т грузоподъемность до 15 т",72 000 - 77 000 тг.,7+1 час.
20,"Еврофура, грузоподъемность 20 т",64 000 - 70 000 тг.,7+1 час.
,пассажирские автоперевозки,,
1,Микроавтобус Тойота (Toyota Hiace),5 000 тг.,час
2,Микроавтобус Форд транзит (Ford),5 000 тг.,час
3,Микроавтобус Форд транзит (Ford),6 000 тг.,час
4,Автобус ЛиАЗ-5256,8 000 тг.,час
5,Хагер,8 000 тг.,час
6,Ютонг (Yutong),8 000 тг.,час
7,Хёндай каунти (Hyundai County),7 500 тг.,час
8,Тойота (Toyota Coaster),8 500 тг.,час
9,Автобус ПАЗ-320412,8 000 тг.,час
10,Киа Азия Космос (KIA Cosmos),8 000 тг.,час
11,Шинлонги,8 500 тг.,час
12,Мерседес (Mercedes),8 500 тг.,час
13,Киа Азия Гранберд (KIA Granbird),10 000 тг.,час
14,Мерседес (Mercedes),10 000 тг.,час
15,Вольво,10 000 тг.,час
16,ДАФ (DAF),10 000 тг.,час
17,Тойота (Toyota),10 000 тг.,час
18,Bova,10 000 тг.,час
19,Сетра,10 000 тг.,час
20,Неоплан (Neoplan Tourliner),10 000 тг.,час
21,Мерседес (Mercedes),11 000 тг.,час
,негабаритные автоперевозки,,
1,"фургон, тент 6 (м3)",4 400 тг.,час
2,"фургон, тент 8-12 (м3)",4 500 тг.,час
3,"фургон, тент 16-18 (м3)",5 000 тг.,час
4,"фургон, тент 22 (м3)",5 500 тг.,час
5,"фургон, тент 32-36 (м3)",6 600 тг.,час
6,борт 6 м. длина,7 150 тг.,час
7,"фургон, изотерма гидролифт 32-36 (м3)",7 150 тг.,час
8,"тент, фургон 45 (м3)",7 700 тг.,час
9,борт 6 м. длина,8 250 тг.,час
10,"фургон, изотерма гидролифт 45 (м3)",8 250 тг.,час
11,"тент, фургон 60 (м3)",8 800 тг.,час
12,"фургон, изотерма гидролифт 60 (м3)",9 350 тг.,час
13,"тент, фургон 82, 92 (м3)",9 900 тг.,час
14,борт 12 м. длина,9 900 тг.,час
15,"фургон, изотерма гидролифт 82 (м3)",11 000 тг.,час
